Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Bhutan,BTN,3155957485.99283,3387237868.11166,3740993523.62583,4032288248.98865,4240243727.3036,4534307660.14577,4790079125.36941,5561511005.10767,5813416792.57383,6259160083.50355,7005995171.89064,7600752209.8337,7993317388.3402,8132108587.20672,8610364845.4666,9183884142.47696,9962304960.22109,10170202848.8421,10526350318.1957,11132157411.2889,9994629326.98952,10436528610.0243,10980675415.8553
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Bolivia,BOL,52894731696.8795,53785372727.536,55122243524.0202,56616794871.7388,58979581074.8463,61587323810.5845,64541673167.9731,67487603144.9233,71637076989.9219,74041933359.5186,77097438550.321,81109660523.7312,85264320858.5034,91058893848.1463,96031228100.6,100695644651.071,104989227225.848,109393741901.869,114014121704.605,116541479327.601,106358219546.292,112858166795.217,116927471575.734
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Bosnia and Herzegovina,BIH,33022435119.2253,33822672139.1219,35523088110.3477,36896815231.8927,39230637003.0519,40759524753.641,42966246879.2419,45482834243.4482,47958842889.3641,46517940590.1512,46920632102.3355,47370840844.6341,46981529996.4296,48085528609.5456,48640364006.5027,50739074409.7454,52384164694.1734,54083559883.326,56153607708.1497,57774955162.8103,56032985293.1692,60173801804.3836,62717234684.7618
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Botswana,BWA,22117698200.1735,22173119390.134,23518923717.7977,24606884375.2201,25272702793.8426,26424290307.1524,28634383885.636,30293046543.6894,31278198518.4815,26854136736.2622,29572368613.5331,31594683838.3681,31540688283.1084,35042595321.543,37038193113.9308,35241346050.8487,37780282311.1911,39334700518.5398,40982074575.3385,42224734095.6776,38539041551.5395,43133140608.7628,45499436856.6038
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Brazil,BRA,2437186456558.21,2471060823402.5,2546513723160.09,2575565090158.29,2723916728546.84,2811140139434.87,2922517194416.03,3099910206578.08,3257825691169.88,3253726955440.9,3498674868152.62,3637727009587.29,3707614147323.18,3819021377717.48,3838267555171.56,3702171669286.63,3580891601615.87,3628262108472.51,3692978213726.3,3738061272790.16,3615574021216.43,3787769507879.98,3902034936764.09
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Brunei Darussalam,BRN,32747978585.697,33228083767.9709,34544394076.2845,35782267885.8421,35819674110.5465,35818268120.7388,37286248538.0044,35882934534.8187,34483245024.5781,33827975829.3173,34755323894.0047,36056704461.8118,36385950967.0723,35612828398.7822,34719698828.0046,34583464462.7432,33726514652.9977,34174647795.1643,34192545418.5773,35515401716.6394,35917994865.5525,35346624879.392,34771064638.0763
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Bulgaria,BGR,103424642229.15,107379294797.84,113684533100.343,119638366757.725,127427333105.255,136419050720.468,145699078041.573,155394459495.482,164919454260.664,159399366984.805,161878600396.727,165262146869.893,166499654444.421,165595974900.884,167168224203.931,172847853652.873,178079316798.816,182969243855.571,187633979493.977,194743150210.485,188480721828.139,203145680792.365,211350283009.074
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Burkina Faso,BFA,17036525024.9961,18163219549.8152,18953857927.1605,20432731533.6007,21347801635.5542,23196921150.2789,24647462832.3919,25660813447.6573,27149138508.3087,27953282649.4762,30314295612.087,32321878819.7076,34407503766.8525,36400587615.628,37975584844.5378,39464694412.0733,41815991712.8466,44410042330.9491,47343134249.8795,50131268465.3998,51139294287.7971,54689652540.5665,55508487752.6131
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Burundi,BDI,6392790185.90594,6524213620.96985,6814314046.1228,6730925379.84221,7056275277.3296,7119781754.8892,7505233008.23771,7764309791.27688,8141788511.19378,8452214175.39105,8885319152.80728,9243628531.93661,9654665547.09098,10130079612.68,10559660855.4562,10147834073.5944,10086946976.8972,10137381839.1223,10300587140.1404,10487292010.8126,10521601909.4771,10847771568.5348,11048346804.0333
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Cabo Verde,CPV,2044521201.70721,2090147852.0345,2199899241.02861,2291772738.2399,2525466468.96274,2700038276.85302,2915602594.87611,3357919567.09354,3594283904.72014,3540240729.11105,3605254387.81299,3746750463.41027,3787352067.99735,3811293311.41454,3837845328.09483,3873768577.6945,4039593563.54896,4223448183.68258,4380009912.03763,4684325394.4235,3709738572.10333,3970664151.46117,4599763302.14502
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Cambodia,KHM,23953005981.2005,25723063815.3573,27334632491.0909,30145638982.9605,32996721516.8066,37386385535.0717,41477712320.6486,45790754857.6479,49214239315.3323,51219610560.8403,53819988410.352,57741666976.1537,62159052652.6501,67043200062.8067,72406871106.3382,77625259450.4716,83761925237.7963,90525733498.0315,98470474432.232,106286026886.488,102506791315.638,105674090069.142,111067028703.109
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Cameroon,CMR,57010156987.347,59475425081.572,62138155821.9261,65526644958.2901,70145528271.0204,71708560180.5984,74440357496.4561,77661830226.2754,79873388993.9853,81933524799.2723,84308797938.1703,87157770352.3957,91189670263.5506,95745076833.6667,101221521111.431,106957697125.582,111809078187.605,115768435044.329,120347671976.682,124529825764.752,124853519772.037,129022200845.744,133843481810.674
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Canada,CAN,1462709981458.8,1490137229000.17,1534830249556.88,1562555195029.98,1610875086776.22,1662591496177.59,1706449725477.16,1741430317085.65,1758764624346.07,1707495118796.61,1760270486764.73,1815493593719.7,1847367512609.86,1890333836978.6,1944651951661.22,1957291625275.61,1977619095748.98,2037616794116.45,2093507877645.54,2133461050343.05,2025972302247.91,2133084584492.55,2214565564520.83
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Cayman Islands,CYM,..,..,..,..,..,..,4445537886.44747,4586133589.09912,4569742692.56795,4240699172.13266,4125537250.05143,4173767346.52232,4225094403.10133,4279147346.42407,4392738510.23343,4517190161.30993,4663545963.37824,4812035408.50852,5017377829.29841,5213840048.84888,4955504368.02689,5198568359.3221,5466623675.42002
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Central African Republic,CAF,4775723303.89492,4988946886.03721,5169374255.08257,4890358043.7725,5183529346.83071,5230606705.4001,5480163419.84512,5732663859.49915,5850420282.78479,6352811108.50702,6646998256.28472,6925814264.62087,7275828382.42044,4628010583.77193,4631762535.80156,4832647682.81084,5062213759.5644,5291394260.22005,5491908660.98135,5662157829.47177,5713117249.75906,5769272621.61696,5798240716.57507
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Chad,TCD,9277355909.13722,10358922553.3825,11238520402.376,12893017953.101,17228858903.5546,20215056685.1831,20346103218.8008,21011725899.9237,21653149077.1911,22566412982.6652,25624184702.1987,25645419412.4129,27923393300.6278,29515027099.3199,31551559555.2956,32424804397.2969,30396461975.8189,29488004137.0016,30188060501.791,31168321743.6293,30669626495.9041,30311041208.7462,31161066088.6256
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Chile,CHL,271801379087.501,280374089508.851,289353908436.017,303020803220.554,323245181807.772,342113150842.259,362810965093.169,381561873816.161,396020751999.013,391593092542.455,414507753725.929,440306288491.688,467408637682.041,482872890996.15,491529109334.837,502106533131.29,510908655200.935,517845238398.257,538507416046.354,541923532261.011,508630596663.334,566278570129.927,577936774023.041
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,China,CHN,5036769057117.47,5456620701629.82,5955008290109.18,6552773837418.75,7215496573067.44,8037672954625.27,9060141767713.25,10349477943026.9,11348272829141.9,12414865856391.4,13735294981706.8,15047129954669.4,16230396597386.1,17490873558596,18789704490483.8,20112749379001.5,21490223756848.4,22983192752169.8,24534506282427.8,25994432263673.9,26576353594843,28821648700423.3,29672080421839.5
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Colombia,COL,430406416834.288,437628198819.339,448586323434.094,466163155306.923,491023739250.457,514734102601.141,549308116418.974,586321566756.253,605573119878.577,612474525736.667,640003166950.999,684469895670.442,711250709623.894,747766274966.63,781408504015.56,804506168732.273,821299289722.908,832463710875.639,853810779958.93,881020494841.416,817711118547.378,906033717087.335,972073462698.836
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Comoros,COM,1632971701.37627,1671067414.16853,1709918810.14477,1745893306.982,1779408519.07138,1829900087.60082,1878336728.17382,1893364217.45519,1968428747.06361,2032220419.17664,2108992966.4554,2196379231.21248,2265969527.5368,2367173330.71419,2417041567.34052,2444773512.15924,2525950910.2022,2622335207.3205,2717852485.92101,2765707895.42458,2760299364.81606,2815509823.50303,2888797834.74912
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,"Congo, Dem. Rep.",COD,44785997321.1114,43845413886.4461,45137873731.5951,47655584123.5075,50866795581.8206,53987550378.7193,56860216902.2796,60419369536.0526,64181015601.1775,66013424678.9329,70705643442.004,75566423729.3102,80921739816.6562,87785486697.0725,96099025196.6669,102745394379.215,105210666253.396,109131812716.167,115484507692.662,120547959277.788,122639976008.026,130243843399.282,141867386989.06
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,"Congo, Rep.",COG,23857518231.7228,24764724673.0889,25899412178.5963,26110042793.8187,27017792797.8924,29113227688.4904,31438279446.956,29358953277.7384,31210439248.1357,34842488218.4079,38302788206.1274,39147716827.6844,43041800172.356,42735155559.2203,45575361950.4456,45764587690.9234,41789821841.049,39451775871.4041,38542681577.0867,38976083979.3992,36533151792.0523,36903988991.0873,37448454255.7938
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Costa Rica,CRI,55867522672.5945,57817952804.8537,59793520783.6615,62374914624.3229,65134754845.136,67724946735.0592,72686947314.1644,78658275970.7908,82385242641.945,81665643844.1088,86043202897.1513,89831822135.6548,94217943865.2462,96568461200.3133,99989022203.1936,103640702253.195,107998092396.312,112488327963.675,115430915089.243,118221471102.718,113169448758.274,122150307148.459,127709968337.058
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Cote d'Ivoire,CIV,85633803213.3227,83789240395.7837,81501353004.0622,77649707795.0553,80122880670.5141,80920957094.4427,83199350239.2588,84115732649.5223,88138707177.7418,91314628222.062,97567899071.286,92328066528.4805,99363845372.1675,110055606909.495,120370018325.665,129030580269.806,138285633654.093,148533653433.383,155727355215.77,166194369560.793,167357279085.387,179178274483.428,190319312458.775
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Croatia,HRV,95144014102.2849,98104167854.2561,103797475003.536,109577305234.907,114147210174.07,119086447306.098,125137784522.329,131455848867.025,134043675684.253,124909998363.889,123243597154.08,123123124747.448,120348242764.527,120197266103.13,119527586797.88,122304422001.371,126537536398.737,130689179975.839,134485284400.526,138654918761.243,127130417495.818,143189150859.334,153624685151.577
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Curacao,CUW,4592374851.47544,4560423233.34023,4578531087.73703,4591725804.54718,4601297765.43357,4632422109.72716,4708205510.00142,4824496454.81444,4930058515.6481,4903864708.40237,4907900913.14464,4932855502.54849,4915642262.6107,4884393676.75904,4853260679.76042,4875495968.50686,4823439884.28957,4761882753.74666,4661687439.15566,4512227577.28306,3680241833.29686,3834212549.94907,4099003268.64856
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Cyprus,CYP,25660250318.0995,26674487246.8594,27667566803.3461,28393366243.8661,29820514483.3834,31267705195.8797,32741611246.4881,34410801000.3221,35665698217.255,34946940825.9836,35744969944.8301,35893923796.6608,34656523335.3729,32373532846.5576,31798558892.7625,32885727133.342,35047500334.1513,37063023359.8368,39387492877.912,41701740955.1764,40358680367.3682,44954631380.8857,48265819835.5863
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Czechia,CZE,315668440579.001,324877182027.412,329794066546.156,340680030560.148,356815794112.644,379562903958.357,404702011672.66,426915400754.605,438067575379.419,417047673036.38,428369120729.295,435961452936.342,432601636756.774,432420755596.224,442129519095.944,464053654162.315,476030276387.529,500658013527.324,514828166793.577,533185788951.409,504900925093.745,525243475794.645,540198053916.177
